# model=heuristic triples=9188 ents=523 rels=32
# metrics={'mrr': 0.0, 'hits_at_1': 0.0, 'hits_at_5': 0.0, 'hits_at_10': 0.0}
subject	predicate	object	score
Raynaud disease	ASSOCIATED_WITH	vasoconstriction	0.4747022245021291
vasoconstriction	AFFECTS	platelet aggregation	0.5474831690756804
fish oil	INHIBITS	platelet aggregation	0.5560627576660742
fish oil	INHIBITS	vasoconstriction	0.5429480035677136
migraine	ASSOCIATED_WITH	vasoconstriction	0.48781697860048984
migraine	ASSOCIATED_WITH	inflammation	0.592735011387375
magnesium	INHIBITS	vasoconstriction	0.5691775117644349
magnesium	TREATS	migraine	0.502600669947122
depression	ASSOCIATED_WITH	inflammation	0.6189645195840964
depression	ASSOCIATED_WITH	BDNF	0.5599481261414734
curcumin	INHIBITS	inflammation	0.5822922658627956
curcumin	STIMULATES	BDNF	0.505577252042621
Alzheimer disease	ASSOCIATED_WITH	APOE	0.6583087818791783
Alzheimer disease	ASSOCIATED_WITH	inflammation	0.671423535977539
omega-3	INHIBITS	inflammation	0.5429480035677136
omega-3	ASSOCIATED_WITH	APOE	0.514046486797211
diabetes	ASSOCIATED_WITH	insulin resistance	0.5402759949939324
insulin resistance	ASSOCIATED_WITH	inflammation	0.6517514048299979
curcumin	INHIBITS	insulin resistance	0.47081685602672996
asthma	ASSOCIATED_WITH	inflammation	0.6451940277808176
vitamin D	INHIBITS	inflammation	0.6544234134037792
psoriasis	ASSOCIATED_WITH	inflammation	0.6451940277808176
vitamin D	TREATS	psoriasis	0.5353875551930236
hypertension	ASSOCIATED_WITH	ACE	0.5074891097480307
ACE	AFFECTS	vasoconstriction	0.5671553002232214
caffeine	INHIBITS	ACE	0.5495053806168938
depression	ASSOCIATED_WITH	serotonin	0.5337186179447521
serotonin	AFFECTS	neurogenesis	0.5868274313707623
lithium	STIMULATES	neurogenesis	0.5383641372885226
lithium	TREATS	depression	0.4829285387995811
cancer	ASSOCIATED_WITH	gene_24	0.5009317326988504
omeprazole	AFFECTS	ischemia	0.4491225133379753
disease_68	ASSOCIATED_WITH	TP53	0.4484727163054078
disease_15	ASSOCIATED_WITH	gene_13	0.5271612408955717
chemical_62	STIMULATES	phenotype_18	0.49901987499344064
magnesium	STIMULATES	PSEN2	0.6826264323704898
gene_41	REGULATES	gene_25	0.5071393751594947
chemical_41	INHIBITS	ischemia	0.45770210192836924
STAT3	INTERACTS_WITH	gene_45	0.609196172895898
vitamin B12	STIMULATES	gene_71	0.505577252042621
disease_56	AFFECTS	IFNG	0.48846677563305735
gene_3	AFFECTS	DNA damage	0.619614316616664
chemical_29	INHIBITS	necrosis	0.5429480035677136
disease_57	AFFECTS	gene_25	0.501581529731418
LRRK2	REGULATES	phenotype_56	0.5727131456512979
chemical_23	AFFECTS	protein misfolding	0.4556798903871557
chemical_17	PREVENTS	disease_1	0.43111330317722524
gene_23	AFFECTS	gene_10	0.45567989038715573
PTEN	AFFECTS	phenotype_20	0.46223726743633603
gene_56	AFFECTS	phenotype_30	0.6327290707150247
chemical_35	AFFECTS	phenotype_16	0.44912251333797537
phenotype_63	CO_OCCURRED_WITH	phenotype_79	0.6138465883333103
omeprazole	STIMULATES	gene_17	0.48590512089508
chemical_64	REGULATES	gene_56	0.5530410145037571
omeprazole	STIMULATES	phenotype_92	0.4727903667967193
cirrhosis	ASSOCIATED_WITH	mTOR	0.5402759949939324
chemical_63	PREVENTS	psoriasis	0.5098018277673891
gene_73	AFFECTS	gene_18	0.47535202153469663
hepatitis	AFFECTS	phenotype_30	0.5278110379281393
mTOR	REGULATES	phenotype_37	0.5661557686021177
chemical_71	CAUSES	diabetes	0.5314290041632319
chemical_83	STIMULATES	SOD2	0.5777083995836046
disease_36	ASSOCIATED_WITH	gene_83	0.4812596015513095
chemical_50	CAUSES	disease_1	0.45929785662224826
disease_42	ASSOCIATED_WITH	phenotype_87	0.49437435564967014
disease_52	ASSOCIATED_WITH	gene_32	0.4812596015513095
disease_21	ASSOCIATED_WITH	necrosis	0.5074891097480307
DNA damage	CO_OCCURRED_WITH	thrombopoiesis	0.6794203588251135
phenotype_4	AFFECTS	phenotype_29	0.6327290707150247
chemical_6	STIMULATES	phenotype_41	0.525249383190162
gene_66	AFFECTS	phenotype_77	0.6458438248133852
chemical_12	STIMULATES	lipid peroxidation	0.6301674159770473
disease_18	ASSOCIATED_WITH	phenotype_18	0.5271612408955717
lupus	ASSOCIATED_WITH	gene_12	0.5140464867972111
disease_44	AFFECTS	protein misfolding	0.4687946444855164
chemical_26	INHIBITS	phenotype_86	0.4970463642234513
chemical_76	PREVENTS	disease_22	0.5098018277673891
gene_2	REGULATES	STAT3	0.6186147849955603
gene_44	INTERACTS_WITH	gene_62	0.707556828633603
ubiquitination	CO_OCCURRED_WITH	anaplasia	0.6007318342349497
gene_40	REGULATES	AKT1	0.5989426538480193
chemical_3	INHIBITS	phenotype_76	0.4970463642234513
gene_0	INTERACTS_WITH	gene_25	0.5698519106008161
digoxin	AFFECTS	phenotype_75	0.49502415268223765
cirrhosis	ASSOCIATED_WITH	CRP	0.5337186179447521
imatinib	STIMULATES	phenotype_66	0.4924624979442603
phenotype_16	CO_OCCURRED_WITH	phenotype_64	0.6531908506283923
chemical_52	PREVENTS	diabetes	0.5229165818657499
chemical_71	REGULATES	gene_27	0.4612377358152325
phenotype_1	AFFECTS	phenotype_10	0.6851880871084673
cortisol	AFFECTS	glycosylation	0.49502415268223765
PTEN	STIMULATES	phosphorylation	0.5711510225344243
phenotype_90	CO_OCCURRED_WITH	phenotype_2	0.5548301948906873
disease_7	ASSOCIATED_WITH	CXCL8	0.4419153392562275
chemical_58	AFFECTS	erythropoiesis	0.5409257920265
vitamin E	STIMULATES	necrosis	0.6236100389278669
gene_20	STIMULATES	phenotype_14	0.7678723340098341
